gene,T,processing_mean,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.01,0.1,0.3,rise,60,3,3,0,3,0,0,3,0,0,0.0883533975751681,0.089425674830592,0.0888160674421718,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.3,fall,40,3,3,0,3,0,0,3,0,0,0.2357407991047637,0.259627430145701,0.2433696876868716,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.3,fall,50,3,3,0,3,0,0,3,0,0,0.1898451416645302,0.2363567676921577,0.2086925742454692,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,0.3,fall,60,3,3,0,3,0,0,3,0,0,0.1537440214372452,0.2214620911442307,0.1845594857938226,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,rise,40,3,3,0,3,0,0,3,0,0,0.1082654492794875,0.1300949798849226,0.1211271524783768,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,rise,50,3,3,0,3,0,0,3,0,0,0.1285800143547819,0.1348213922653297,0.1314751825199243,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,rise,60,3,3,0,3,0,0,3,0,0,0.1373427052434548,0.1513059976951778,0.141639370540872,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,fall,40,3,3,0,3,0,0,3,0,0,0.8887498063630477,0.9519663795568046,0.918602047076878,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,fall,50,3,3,0,3,0,0,3,0,0,0.689557450093844,0.7764954733131822,0.7309360147010706,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,1.0,fall,60,3,3,0,3,0,0,3,0,0,0.529505925969013,0.6408901141042854,0.5832893298923058,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,rise,40,3,3,0,3,0,0,3,0,0,0.1345897175266038,0.1507389383293886,0.1442516921434788,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,rise,50,3,3,0,3,0,0,3,0,0,0.1564808634563056,0.1611498665423368,0.1576210501654336,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,rise,60,3,3,0,3,0,0,3,0,0,0.1595915976495665,0.1903856929144466,0.1710230052126611,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,fall,40,3,3,0,3,0,0,3,0,0,2.7391300060371746,2.8443377492862587,2.7908577304536264,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,fall,50,3,3,0,3,0,0,3,0,0,2.093674891663845,2.2226012577786607,2.156925844823822,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.1,3.0,fall,60,3,3,0,3,0,0,3,0,0,1.569097391190323,1.7224560024920983,1.6447382592536963,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.01,rise,40,3,3,0,0,0,3,3,0,0,0.0043385820343769,0.0043659344177649,0.0043534027790542,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.01,rise,50,3,3,0,0,0,3,3,0,0,0.0043373096715144,0.0043791597174842,0.0043570651975611,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.01,rise,60,3,3,0,0,0,3,3,0,0,0.0043349161511336,0.0043817720863271,0.00436015331352,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.01,fall,40,3,3,0,0,0,3,3,0,0,0.0044056329757629,0.0044287567239928,0.0044115636304915,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.01,fall,50,3,3,0,0,0,3,3,0,0,0.0043986119727239,0.0044288650326993,0.00441134274008,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.01,fall,60,3,3,0,0,0,3,3,0,0,0.0043936716020401,0.0044289553290619,0.0044031913675542,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,rise,40,3,3,0,0,0,3,3,0,0,0.0062597878363699,0.0064737125894433,0.0063985322060898,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,rise,50,3,3,0,0,0,3,3,0,0,0.0062500726584066,0.0066553582354059,0.0064474450949192,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,rise,60,3,3,0,0,0,3,3,0,0,0.0062272816588274,0.0067844939771267,0.0064900319586603,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,fall,40,3,3,0,0,0,3,3,0,0,0.0072306572037057,0.0075245282425653,0.0073472011224509,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,fall,50,3,3,0,0,0,3,3,0,0,0.0071009678483956,0.0075149469104629,0.0072966104899423,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.03,fall,60,3,3,0,0,0,3,3,0,0,0.007026045605044,0.0074684596351086,0.0071292506356879,0.0,0.0,1.0,1.0,0.0
Kr,0.01,0.3,0.1,rise,40,3,3,0,3,0,0,3,0,0,0.0183294227659837,0.0189250046076706,0.0186993575539438,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.1,rise,50,3,3,0,3,0,0,3,0,0,0.0184378792236734,0.0209790564361219,0.0197155385636937,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.1,rise,60,3,3,0,3,0,0,3,0,0,0.0183600016342065,0.0231194269531433,0.0204416218187256,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.1,fall,40,3,3,0,3,0,0,3,0,0,0.0394110410636112,0.0428770916979355,0.0413516178262212,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.1,fall,50,3,3,0,3,0,0,3,0,0,0.036079619768903,0.039949457208354,0.0381192239883283,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.1,fall,60,3,3,0,3,0,0,3,0,0,0.0340989333936758,0.0361582033311254,0.0341381707291146,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,rise,40,3,3,0,3,0,0,3,0,0,0.0438053713472798,0.0454339869171467,0.045358086750006,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,rise,50,3,3,0,3,0,0,3,0,0,0.0465244555441012,0.0517709433778273,0.0487381598281966,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,rise,60,3,3,0,3,0,0,3,0,0,0.0468880085863904,0.0595805839760058,0.0520272291820201,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,fall,40,3,3,0,3,0,0,3,0,0,0.2132997405068368,0.2152072269837384,0.214154295554044,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,fall,50,3,3,0,3,0,0,3,0,0,0.182664131341625,0.1842206163953719,0.1830795148542163,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,0.3,fall,60,3,3,0,3,0,0,3,0,0,0.1526286359379962,0.158758056501294,0.155005525345895,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,rise,40,3,3,0,3,0,0,3,0,0,0.0739716309273941,0.0745885165460487,0.0742920482578442,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,rise,50,3,3,0,3,0,0,3,0,0,0.076507346350871,0.0895371598754582,0.0816085705571071,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,rise,60,3,3,0,3,0,0,3,0,0,0.0777047453267011,0.1048799299112366,0.088710287207092,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,fall,40,3,3,0,3,0,0,3,0,0,0.8468340295462415,0.8688312817393435,0.8602800818981025,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,fall,50,3,3,0,3,0,0,3,0,0,0.681251888233017,0.705005518458533,0.6953049534457503,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,1.0,fall,60,3,3,0,3,0,0,3,0,0,0.5405380260657524,0.5709081255418509,0.5557254329889204,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,rise,40,3,3,0,3,0,0,3,0,0,0.0879423749002207,0.0931251926315309,0.0906029482704399,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,rise,50,3,3,0,3,0,0,3,0,0,0.0912927188978793,0.113022310498785,0.0999233393720184,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,rise,60,3,3,0,3,0,0,3,0,0,0.0930158727459259,0.1333457012781837,0.1095445127968891,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,fall,40,3,3,0,3,0,0,3,0,0,2.6630977616662723,2.715717529450618,2.6917746912329124,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,fall,50,3,3,0,3,0,0,3,0,0,2.060470313466438,2.113810209955416,2.0891638754385937,1.0,0.0,0.0,1.0,0.0
Kr,0.01,0.3,3.0,fall,60,3,3,0,3,0,0,3,0,0,1.567528058103335,1.6260511508860676,1.5965345016442627,1.0,0.0,0.0,1.0,0.0
Kr,0.01,1.0,0.01,rise,40,3,3,0,0,0,3,3,0,0,0.0041743496785006,0.0041918537286524,0.0041817176464459,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.01,rise,50,3,3,0,0,0,3,3,0,0,0.0041743837059564,0.0041923558762415,0.0041840287153168,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.01,rise,60,3,3,0,0,0,3,3,0,0,0.0041739897699986,0.0041928654012782,0.0041861952975253,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.01,fall,40,3,3,0,0,0,3,3,0,0,0.0042129815301159,0.0042459226391495,0.0042216279221416,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.01,fall,50,3,3,0,0,0,3,3,0,0,0.0042130121060888,0.0042459579442013,0.0042216597394046,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.01,fall,60,3,3,0,0,0,3,3,0,0,0.0042130806125928,0.0042460370463668,0.0042217310270606,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,rise,40,3,3,0,0,0,3,3,0,0,0.0048015103111307,0.0049267689197269,0.004857788030107,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,rise,50,3,3,0,0,0,3,3,0,0,0.0048009075184272,0.0049492318205356,0.0048757554623726,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,rise,60,3,3,0,0,0,3,3,0,0,0.0047971302073738,0.0049585936550086,0.0048920763727416,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,fall,40,3,3,0,0,0,3,3,0,0,0.0051506329914885,0.0054355620953714,0.005226752476853,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,fall,50,3,3,0,0,0,3,3,0,0,0.0051506546146182,0.0054355539068156,0.0052267850292331,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.03,fall,60,3,3,0,0,0,3,3,0,0,0.0051507023461496,0.0054356938969006,0.0052268577576963,0.0,0.0,1.0,1.0,0.0
Kr,0.01,1.0,0.1,rise,40,3,3,0,1,0,2,3,0,0,0.0090926293220201,0.0103562684571495,0.0097383435238703,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0
