gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.03,3.0,rise,50,18,18,0,18,0,0,18,0,0,0.0267005541388694,0.2309747042518039,0.1426680796697123,1.0,0.0,0.0,1.0,0.0
Kr,0.03,3.0,rise,60,18,18,0,18,0,0,18,0,0,0.027137202701856,0.2574843627671345,0.15439018212931993,1.0,0.0,0.0,1.0,0.0
Kr,0.03,3.0,fall,40,18,18,0,18,0,0,18,0,0,2.67107587215444,3.0149928343671752,2.8079859557726357,1.0,0.0,0.0,1.0,0.0
Kr,0.03,3.0,fall,50,18,18,0,18,0,0,18,0,0,2.068448896829656,2.654721413033317,2.227337684489314,1.0,0.0,0.0,1.0,0.0
Kr,0.03,3.0,fall,60,18,18,0,18,0,0,18,0,0,1.57550964661209,2.2987355313093296,1.7316622250286415,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,rise,40,18,18,0,18,0,0,18,0,0,0.0235067112336064,0.0408410413087905,0.03439758788101885,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,rise,50,18,18,0,18,0,0,18,0,0,0.0232665963750424,0.0409069038903901,0.0345941371661084,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,rise,60,18,18,0,18,0,0,18,0,0,0.0229428724711956,0.0409786253229277,0.034718311628544954,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,fall,40,18,18,0,18,0,0,18,0,0,0.0257017309419609,0.0446944985927033,0.03672124042120625,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,fall,50,18,18,0,18,0,0,18,0,0,0.0256151970432679,0.0446945240225131,0.036620523456365156,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.01,fall,60,18,18,0,18,0,0,18,0,0,0.0255403679318889,0.0446945158434717,0.036362958302240095,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,rise,40,18,18,0,18,0,0,18,0,0,0.0367453842526226,0.0456904747728845,0.0398426707740732,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,rise,50,18,18,0,18,0,0,18,0,0,0.0365924454542508,0.0464400373348194,0.040288712502108096,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,rise,60,18,18,0,18,0,0,18,0,0,0.0363501554894868,0.0477105427968767,0.0403671733591262,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,fall,40,18,18,0,18,0,0,18,0,0,0.0400773179995592,0.052007595869876,0.04313111121165915,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,fall,50,18,18,0,18,0,0,18,0,0,0.0399728770032912,0.0521853440116091,0.0427711916177798,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.03,fall,60,18,18,0,18,0,0,18,0,0,0.039874085931659,0.0525246134922872,0.04261737923068125,1.0,0.0,0.0,1.0,0.0
Kr,0.1,0.1,rise,40,18,18,0,18,0,0,18,0,0,0.0419111084547688,0.0962126362561067,0.0571823990474524,1.0,0.0,0.0,1.0,0.0
