gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
geometry_independent,collapsed,0.0,0.03,0.03,0.25,0.001,6.144212353365967e-06,4.30094864748339e-05,2.319892884958344e-13,1.5194219576383509e-12,0.3090543257427412,0.0,0.1356072380269893,0.7062917422226359,1,1,0.15246321653222691,0.6585047898010274,1,1,0.16928492130679024,0.610866544067149,1,1,0.33203112783243544,0.0,0.1481122096283367,0.7232326590394584,1,1,0.1655948245901104,0.6755534504522273,1,1,0.18303878452766026,0.6281106238203765,1,1,0.022976802089694215,0.01250497160134742,intron_lead,0.013131608057883493,intron_lead,0.013753863220870022,intron_lead,0.016940916816822527,intron_lead,0.01704866065119981,intron_lead,0.017244079753227504,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.03,0.5,0.001,6.144212353597264e-06,4.300948647679992e-05,5.183962261998941e-13,3.386656228766307e-12,0.5296541065546501,0.0,0.24589085294226376,0.8134186260207859,1,1,0.2782537395960569,0.7810547432189945,1,1,0.3105585609510542,0.7487497293297379,1,1,0.5443440541875294,0.0,0.25928388083415,0.8294081970197467,1,1,0.2918863762063762,0.7968025674935485,1,1,0.3243865616333495,0.7643016535597088,1,1,0.014689947632879341,0.013393027891886233,intron_lead,0.013632636610319271,intron_lead,0.013828000682295283,intron_lead,0.01598957099896081,intron_lead,0.015747824274554012,intron_lead,0.01555192422997087,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.03,0.75,0.001,6.144212355331987e-06,4.3009486486861315e-05,2.0677967396402582e-12,1.3491359498003953e-11,0.7622310441212434,0.0,0.35523244873863663,0.9212746764358443,1,1,0.40342695204590706,0.904246726239811,1,1,0.45156277293121516,0.8872628269051612,1,1,0.7695844515273411,0.0,0.36879056848366504,0.9364692380414814,1,1,0.41704886218584325,0.9186926264909253,1,1,0.4651972753567181,0.9010206296463267,1,1,0.0073534074060976895,0.013558119745028407,intron_lead,0.013621910139936189,intron_lead,0.013634502425502959,intron_lead,0.015194561605637147,intron_lead,0.014445900251114363,intron_lead,0.013757802741165448,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.1,0.25,0.001,2.312964634635743e-16,6.684699361355542e-06,8.016908457739417e-17,8.277880173664403e-14,0.3090543257427341,0.0,0.13560723802698932,0.7062946932603815,1,1,0.15246321653222694,0.6585076988727424,1,1,0.16928492130679026,0.6108693706385749,1,1,0.4176733969547143,0.0,0.17925992278364203,0.8020980591160545,1,1,0.2001636441708222,0.7543559163167921,1,1,0.22139023076997194,0.7075172330553764,1,1,0.10861907121198017,0.04365268475665271,intron_lead,0.04770042763859525,intron_lead,0.052105309463181676,intron_lead,0.09580336585567295,intron_lead,0.0958482174440497,intron_lead,0.09664786241680146,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.1,0.5,0.001,1.1564823173178715e-16,6.684699361782551e-06,0.0,1.8008008107038114e-13,0.5296548606576121,0.0,0.24589100575711037,0.813420379117911,1,1,0.278253926244494,0.7810563107047639,1,1,0.31055878919895746,0.7487511465514521,1,1,0.5962597080033757,0.0,0.2983133067874282,0.8968459171732354,1,1,0.33296661438684605,0.8611762481507896,1,1,0.3672620182581429,0.8262684021533712,1,1,0.06660484734576355,0.05242230103031781,intron_lead,0.05471268814235203,intron_lead,0.056703229059185456,intron_lead,0.08342553805532438,intron_lead,0.08011993744602575,intron_lead,0.07751725560191902,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.1,0.75,0.001,1.1564823173178715e-16,6.68469936220956e-06,5.2944964975336963e-17,7.062134470214046e-13,0.7622314468133875,0.0,0.35523304579581344,0.9212753238348805,1,1,0.4034276739867156,0.9042472754637216,1,1,0.451563606118476,0.8872633022860054,1,1,0.7929940443489365,0.0,0.41185117805779087,0.992936036445055,1,1,0.4611257587524138,0.9683504252605437,1,1,0.5098473942337688,0.9455300741344298,1,1,0.030762597535548997,0.05661813226197743,intron_lead,0.05769808476569821,intron_lead,0.05828378811529278,intron_lead,0.07166071261017448,intron_lead,0.06410314979682208,intron_lead,0.05826677184842444,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.3,0.25,0.001,0.0,6.206275104442776e-06,6.47061700754266e-17,3.4599683417603765e-14,0.30905432574273445,0.0,0.13560723802698932,0.7062946932603814,1,1,0.15246321653222694,0.6585076988727424,1,1,0.16928492130679026,0.6108693706385749,1,1,0.5512520957874586,0.0,0.2235161197411471,1.01787661286773,1,1,0.2521837229141806,0.9501146140507191,1,1,0.2833237790461109,0.8903077133887026,1,1,0.24219777004472415,0.08790888171415778,intron_lead,0.09972050638195368,intron_lead,0.11403885773932063,intron_lead,0.3115819196073485,intron_lead,0.29160691517797666,intron_lead,0.2794383427501277,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.3,0.5,0.001,0.0,6.206275104610992e-06,0.0,7.365827827968208e-14,0.5296548606575938,0.0,0.24589100575711034,0.813420379117911,1,1,0.278253926244494,0.7810563107047639,1,1,0.31055878919895746,0.7487511465514521,1,1,0.6893438007258803,0.0,0.35350965231379233,1.0946394719092023,1,1,0.39275295562715906,1.0276447033796152,1,1,0.43142198948804017,0.972548192970208,1,1,0.1596889400682865,0.10761864655668199,intron_lead,0.11449902938266504,intron_lead,0.1208632002890827,intron_lead,0.2812190927912913,intron_lead,0.24658839267485133,intron_lead,0.22379704641875586,intron_lead,True
geometry_independent,collapsed,0.0,0.03,0.3,0.75,0.001,1.1564823173178715e-16,6.206275104779207e-06,0.0,2.8189373722667377e-13,0.762231446813396,0.0,0.35523304579581333,0.9212753238348805,1,1,0.4034276739867155,0.9042472754637216,1,1,0.4515636061184759,0.8872633022860054,1,1,0.8397594798319549,0.0,0.47525162664777465,1.1814787847160713,1,1,0.5270618527961343,1.1145258248545569,1,1,0.5772609023158893,1.0597816046086936,1,1,0.07752803301855882,0.12001858085196132,intron_lead,0.1236341788094188,intron_lead,0.12569729619741343,intron_lead,0.26020346088119073,intron_lead,0.21027854939083523,intron_lead,0.17251830232268828,intron_lead,True
geometry_independent,collapsed,0.0,0.03,1.0,0.25,0.001,5.782411586589358e-16,6.149747125347087e-06,4.556104274593171e-17,2.007160552020178e-14,0.3090543257427388,0.0,0.13560723802698932,0.7062946932603814,1,1,0.15246321653222694,0.6585076988727424,1,1,0.1692849213067903,0.6108693706385748,1,1,0.7051125521304988,0.0,0.2722175663379072,1.7279943763513308,1,1,0.31237943686209974,1.5048508856926044,1,1,0.3554090167547194,1.322529389275032,1,1,0.39605822638776006,0.1366103283109179,intron_lead,0.1599162203298728,intron_lead,0.18612409544792913,intron_lead,1.0216996830909495,intron_lead,0.846343186819862,intron_lead,0.7116600186364572,intron_lead,True
