gene,mode,T,processing_mean,decay_mean,peak_fraction,dt,mass_relative_error_I,mass_relative_error_E,tail_fraction_I,tail_fraction_E,I_peak,I_flat_peak_width,I_rise_40,I_fall_40,I_upcrossings_40,I_downcrossings_40,I_rise_50,I_fall_50,I_upcrossings_50,I_downcrossings_50,I_rise_60,I_fall_60,I_upcrossings_60,I_downcrossings_60,E_peak,E_flat_peak_width,E_rise_40,E_fall_40,E_upcrossings_40,E_downcrossings_40,E_rise_50,E_fall_50,E_upcrossings_50,E_downcrossings_50,E_rise_60,E_fall_60,E_upcrossings_60,E_downcrossings_60,peak_offset,rise_40_offset,rise_40_class,rise_50_offset,rise_50_class,rise_60_offset,rise_60_class,fall_40_offset,fall_40_class,fall_50_offset,fall_50_class,fall_60_offset,fall_60_class,valid
Kr,mapped,0.01,0.03,0.01,0.75,0.001,5.0237280496822785e-06,6.385691376438893e-06,1.6908008563979988e-12,2.1500616128664385e-12,0.7661172227310651,0.0,0.3591563059521929,0.9252092383372789,1,1,0.4073503546173862,0.908179319075073,1,1,0.45548546000364987,0.8911936059909314,1,1,0.7713890043141569,0.0,0.3652243468673277,0.931463167703557,1,1,0.4134164404656203,0.9143813768387336,1,1,0.4615448198874121,0.8973468311360665,1,1,0.005271781583091828,0.006068040915134798,small,0.006066085848234093,small,0.0060593598837622165,small,0.00625392936627811,small,0.006202057763660562,small,0.006153225145135055,small,True
Kr,mapped,0.01,0.03,0.03,0.25,0.001,5.0237280484362575e-06,3.981971847761411e-05,1.8970027825740847e-13,1.4073402176518534e-12,0.312999344637625,0.0,0.1395336803221617,0.710226085114716,1,1,0.15639180335922617,0.6624390538127323,1,1,0.17321554583988444,0.6148008601615078,1,1,0.3396346343709799,0.0,0.15576010560234757,0.7308642282724258,1,1,0.17324231437755255,0.6831842921285867,1,1,0.19068589722438103,0.635740423150904,1,1,0.026635289733354883,0.016226425280185863,intron_lead,0.01685051101832638,intron_lead,0.017470351384496596,intron_lead,0.020638143157709843,intron_lead,0.020745238315854397,intron_lead,0.020939562989396143,intron_lead,True
Kr,mapped,0.01,0.03,0.03,0.5,0.001,5.023728048643928e-06,3.9819718479365466e-05,4.2396393913782574e-13,3.1373033000358837e-12,0.5335842588603283,0.0,0.24981727406019116,0.8173525141049471,1,1,0.282180839399593,0.7849879735743599,1,1,0.314486181058864,0.7526824085763555,1,1,0.551982641218632,0.0,0.26692482820694374,0.8370444607219156,1,1,0.2995268358579078,0.8044393220673394,1,1,0.33202660548915874,0.7719387595437559,1,1,0.01839838235830371,0.01710755414675258,intron_lead,0.017345996458314805,intron_lead,0.017540424430294743,intron_lead,0.019691946616968492,intron_lead,0.01945134849297947,intron_lead,0.019256350967400415,intron_lead,True
Kr,mapped,0.01,0.03,0.03,0.75,0.001,5.0237280496822785e-06,3.981971848870608e-05,1.6908008563979988e-12,1.2497999047703363e-11,0.7661172227310651,0.0,0.3591563059521929,0.9252092383372789,1,1,0.4073503546173862,0.908179319075073,1,1,0.45548546000364987,0.8911936059909314,1,1,0.7772192269231561,0.0,0.37642242317957314,0.944114901557664,1,1,0.4246789700907628,0.9263402204647874,1,1,0.4728253068200071,0.9086696250406101,1,1,0.011102004192091064,0.01726611722738025,intron_lead,0.017328615473376552,intron_lead,0.01733984681635725,intron_lead,0.018905663220385116,intron_lead,0.01816090138971438,intron_lead,0.01747601904967866,intron_lead,True
Kr,mapped,0.01,0.03,0.1,0.25,0.001,0.0,6.534185107665121e-06,3.599056662591149e-17,8.094796770928994e-14,0.3129993446376282,0.0,0.1395336803221617,0.7102285051537788,1,1,0.15639180335922617,0.6624414285564866,1,1,0.17321554583988447,0.6148031380033637,1,1,0.4254061182734776,0.0,0.18700811126687028,0.8098344215814887,1,1,0.20791227535837437,0.7620921064152711,1,1,0.2291391194867679,0.7152532776313578,1,1,0.11240677363584939,0.04747443094470857,intron_lead,0.05152047199914819,intron_lead,0.05592357364688344,intron_lead,0.09960591642770988,intron_lead,0.09965067785878456,intron_lead,0.1004501396279941,intron_lead,True
Kr,mapped,0.01,0.03,0.1,0.5,0.001,0.0,6.534185107879566e-06,0.0,1.760453794757942e-13,0.5335848556999202,0.0,0.24981738961677102,0.8173539421731996,1,1,0.28218098055376295,0.784989246981824,1,1,0.314486353688369,0.7526835568841828,1,1,0.6040005586465584,0.0,0.3060552079200684,0.9045854114138573,1,1,0.34070830231589005,0.8689158758477616,1,1,0.3750035676799287,0.8340083232549597,1,1,0.07041570294663824,0.05623781830329738,intron_lead,0.058527321762127105,intron_lead,0.06051721399155968,intron_lead,0.08723146924065772,intron_lead,0.0839266288659376,intron_lead,0.0813247663707769,intron_lead,True
Kr,mapped,0.01,0.03,0.1,0.75,0.001,2.0767011853703954e-16,6.534185108308456e-06,0.0,6.901147847933056e-13,0.7661175511900505,0.0,0.3591567817905844,0.9252097633852332,1,1,0.4073509321836794,0.908179764476974,1,1,0.45548613064253696,0.8911939915444934,1,1,0.800740508540995,0.0,0.4195852461529013,1.000687211730028,1,1,0.4688585442539731,0.976101329406489,1,1,0.5175786275044896,0.953281605120463,1,1,0.03462295735094445,0.060428464362316914,intron_lead,0.061507612070293705,intron_lead,0.06209249686195262,intron_lead,0.07547744834479486,intron_lead,0.06792156492951495,intron_lead,0.06208761357596959,intron_lead,True
Kr,mapped,0.01,0.03,0.3,0.25,0.001,4.1534023707407907e-16,6.161470833125837e-06,3.0283840968964766e-17,3.4463049276943895e-14,0.3129993446376282,0.0,0.1395336803221617,0.7102285051537788,1,1,0.15639180335922617,0.6624414285564866,1,1,0.17321554583988444,0.6148031380033638,1,1,0.5590780324316302,0.0,0.23134278293013416,1.0257076908695961,1,1,0.2600133482464614,0.9579446701057664,1,1,0.29115076856497285,0.8981364602000467,1,1,0.24607868779400205,0.09180910260797245,intron_lead,0.10362154488723521,intron_lead,0.11793522272508841,intron_lead,0.31547918571581735,intron_lead,0.29550324154927987,intron_lead,0.28333332219668284,intron_lead,True
Kr,mapped,0.01,0.03,0.3,0.5,0.001,2.0767011853703954e-16,6.161470833125837e-06,3.282177821536081e-17,7.330923650941932e-14,0.5335848556999202,0.0,0.24981738961677105,0.8173539421731996,1,1,0.28218098055376295,0.7849892469818242,1,1,0.31448635368836897,0.7526835568841828,1,1,0.6971695041639874,0.0,0.3613289189159579,1.102471339733001,1,1,0.4005732977086504,1.0354775775069929,1,1,0.43924325818444643,0.9803811467611051,1,1,0.16358464846406717,0.11151152929918687,intron_lead,0.11839231715488746,intron_lead,0.12475690449607746,intron_lead,0.2851173975598015,intron_lead,0.2504883305251687,intron_lead,0.22769758987692235,intron_lead,True
Kr,mapped,0.01,0.03,0.3,0.75,0.001,4.1534023707407907e-16,6.16147083295733e-06,0.0,2.797524841648951e-13,0.7661175511900532,0.0,0.3591567817905844,0.9252097633852332,1,1,0.4073509321836795,0.908179764476974,1,1,0.45548613064253696,0.8911939915444934,1,1,0.8475853513503007,0.0,0.4830641278820127,1.1893180667533938,1,1,0.5348735844645957,1.1223653262492834,1,1,0.5850716217670417,1.0676221759171962,1,1,0.08146780016024746,0.12390734609142828,intron_lead,0.12752265228091614,intron_lead,0.1295854911245048,intron_lead,0.2641083033681606,intron_lead,0.2141855617723094,intron_lead,0.1764281843727028,intron_lead,True
Kr,mapped,0.01,0.03,1.0,0.25,0.001,6.230103556111186e-16,6.136660644652588e-06,6.529044444248189e-17,1.997097963402344e-14,0.3129993446376154,0.0,0.1395336803221617,0.7102285051537788,1,1,0.1563918033592262,0.6624414285564866,1,1,0.17321554583988444,0.6148031380033637,1,1,0.712986326255492,0.0,0.2800864393842504,1.7358783662684334,1,1,0.32024826424487096,1.5127348589551566,1,1,0.36327813267868286,1.330413325238766,1,1,0.39998698161787655,0.14055275906208867,intron_lead,0.16385646088564476,intron_lead,0.19006258683879843,intron_lead,1.0256498611146547,intron_lead,0.85029343039867,intron_lead,0.7156101872354023,intron_lead,True
Kr,mapped,0.01,0.03,1.0,0.5,0.001,6.230103556111186e-16,6.136660644436891e-06,8.090445620015972e-17,4.3254384373614507e-14,0.5335848556999004,0.0,0.249817389616771,0.8173539421731996,1,1,0.2821809805537629,0.7849892469818242,1,1,0.31448635368836897,0.7526835568841829,1,1,0.8069946115190358,0.0,0.412362955537791,1.7957692099806843,1,1,0.4569298006626042,1.5726256869981738,1,1,0.5009878712592747,1.3903041186860856,1,1,0.2734097558191354,0.16254556592102,intron_lead,0.1747488201088413,intron_lead,0.18650151757090572,intron_lead,0.9784152678074848,intron_lead,0.7876364400163497,intron_lead,0.6376205618019027,intron_lead,True
Kr,mapped,0.01,0.03,1.0,0.75,0.001,6.230103556111186e-16,6.136660644652588e-06,4.2957615209919853e-17,1.662037837686723e-13,0.7661175511900505,0.0,0.3591567817905843,0.9252097633852333,1,1,0.40735093218367946,0.908179764476974,1,1,0.4554861306425369,0.8911939915444934,1,1,0.9055416827004068,0.0010000000000000009,0.5355513317612296,1.8590763895857414,1,1,0.5895221939562478,1.635932834340399,1,1,0.6408228234206464,1.453611364929794,1,1,0.13942413151035626,0.1763945499706453,intron_lead,0.18217126177256837,intron_lead,0.18533669277810955,intron_lead,0.9338666262005081,intron_lead,0.7277530698634249,intron_lead,0.5624173733853005,intron_lead,True
Kr,mapped,0.01,0.03,3.0,0.25,0.001,8.3068047414815815e-16,6.14049221223646e-06,0.0,1.588212463076401e-14,0.3129993446376218,0.0,0.1395336803221617,0.7102285051537788,1,1,0.15639180335922617,0.6624414285564866,1,1,0.17321554583988444,0.6148031380033637,1,1,0.8235358362973432,0.0010000000000000009,0.3097101671781835,3.6356334013829366,1,1,0.35659728538891716,2.966202735675684,1,1,0.4065034907844027,2.4192380685868433,1,1,0.5105364916597214,0.1701764868560218,intron_lead,0.200205482029691,intron_lead,0.23328794494451824,intron_lead,2.925404896229158,intron_lead,2.3037613071191974,intron_lead,1.8044349305834797,intron_lead,True
Kr,mapped,0.01,0.03,3.0,0.5,0.001,8.3068047414815815e-16,6.14049221223646e-06,0.0,3.475548993831497e-14,0.5335848556999202,0.0,0.24981738961677102,0.8173539421731996,1,1,0.28218098055376295,0.7849892469818242,1,1,0.314486353688369,0.7526835568841828,1,1,0.8837861585943082,0.0,0.4385165978531811,3.675290298741874,1,1,0.48628660589450606,3.005859630575858,1,1,0.5337519999809229,2.458894955751114,1,1,0.350201302894388,0.18869920823641007,intron_lead,0.2041056253407431,intron_lead,0.2192656462925539,intron_lead,2.857936356568674,intron_lead,2.2208703835940335,intron_lead,1.7062113988669314,intron_lead,True
Kr,mapped,0.01,0.03,3.0,0.75,0.001,6.230103556111186e-16,6.14049221223646e-06,9.287571350622401e-18,1.364091522674924e-13,0.7661175511900505,0.0,0.35915678179058436,0.9252097633852332,1,1,0.4073509321836795,0.908179764476974,1,1,0.4554861306425369,0.8911939915444934,1,1,0.9453798493143982,0.0,0.5589017729263257,3.716011720004451,1,1,0.6138979403705472,3.046581104702656,1,1,0.665760951080818,2.4996164331579647,1,1,0.17926229812434769,0.19974499113574135,intron_lead,0.20654700818686772,intron_lead,0.2102748204382811,intron_lead,2.7908019566192177,intron_lead,2.1384013402256823,intron_lead,1.6084224416134711,intron_lead,True
Kr,mapped,0.01,0.1,0.01,0.25,0.001,5.719451131286905e-06,6.010379809566326e-06,7.062711546012601e-14,7.41894346698889e-14,0.4135473998691459,0.0010000000000000009,0.1772489763512918,0.7982556641941363,1,1,0.19781095495821407,0.7505614842436336,1,1,0.21866340191885766,0.7037420709173501,1,1,0.418450934151255,0.0010000000000000009,0.18206307705805014,0.8031510517976521,1,1,0.20264789423731833,0.7554536521656106,1,1,0.22352472930585557,0.7086324653532654,1,1,0.004903534282109101,0.004814100706758334,small,0.004836939279104252,small,0.0048613273869979046,small,0.004895387603515822,small,0.004892167921976998,small,0.004890394435915324,small,True
Kr,mapped,0.01,0.1,0.01,0.5,0.001,5.719451131421103e-06,6.010379809693248e-06,1.5365279801639018e-13,1.615914747441768e-13,0.5933450570367803,0.0,0.2961149068454166,0.893101026057361,1,1,0.33064443512222613,0.8576022926759612,1,1,0.3648357026587091,0.8228252048686548,1,1,0.5981971518940654,0.0,0.3009261345623373,0.8979991653516717,1,1,0.33546293137739347,0.8624910258745464,1,1,0.3696603117843194,0.8277066152560285,1,1,0.004852094857285105,0.0048112277169207185,small,0.004818496255167337,small,0.00482460912561028,small,0.0048981392943107105,small,0.004888733198585182,small,0.004881410387373664,small,True
Kr,mapped,0.01,0.1,0.01,0.75,0.001,5.719451131689498e-06,6.010379810074012e-06,6.021257330910474e-13,6.329056599141261e-13,0.79238029730276,0.0,0.40974601772154284,0.9889244991805215,1,1,0.45901903448059506,0.9649489901148901,1,1,0.507773365302798,0.9425618149776969,1,1,0.7970800301087055,0.0,0.41453390298232545,0.9938649297943312,1,1,0.46380387626608605,0.9698536027308885,1,1,0.5125525532891264,0.9474406672074798,1,1,0.004699732805945489,0.0047878852607826095,small,0.00478484178549099,small,0.00477918798632837,small,0.004940430613809665,small,0.004904612615998394,small,0.004878852229782904,small,True
