scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
648,mlpt,0.01,0.01,0.01,0.25,0.0005,2.3759926029258416e-08,False,False,1.2427729565930856e-08,False,False,1.4600379454401957e-06,2.0769860459880773e-06
648,mlpt,0.01,0.01,0.01,0.25,0.00025,-3.891812086227048e-08,False,False,1.2503539176082767e-07,False,False,2.3431870672246946e-07,2.6706874107287892e-06
649,mlpt,0.01,0.01,0.01,0.5,0.0005,-1.0683994990014906e-07,False,False,1.453896693792353e-07,False,False,1.930904388377369e-08,1.310151591660258e-06
649,mlpt,0.01,0.01,0.01,0.5,0.00025,-6.262419667470848e-08,False,False,6.36163679157073e-08,False,False,6.768286686317793e-10,1.3095198873047664e-06
650,mlpt,0.01,0.01,0.01,0.75,0.0005,-3.830858839679735e-07,False,False,1.519971272630205e-07,False,False,-3.4663286729245263e-07,2.4711569928739796e-06
650,mlpt,0.01,0.01,0.01,0.75,0.00025,-4.4128032084846114e-07,False,False,1.4607386316159432e-07,False,False,-1.3522122635995296e-06,3.04825302875969e-06
663,mlpt,0.01,0.01,3.0,0.25,0.0005,-7.173700058982213e-08,False,False,-1.3285359390380336e-07,False,False,7.313555670074301e-06,2.0767918385150574e-06
663,mlpt,0.01,0.01,3.0,0.25,0.00025,-1.6207459493933207e-07,False,False,-2.4544198629072866e-07,False,False,7.613944643880544e-06,2.6705528480795715e-06
664,mlpt,0.01,0.01,3.0,0.5,0.0005,-6.31498180136969e-08,False,False,-1.6215627289817292e-06,False,False,-3.1199177907836884e-07,1.31411464088238e-06
664,mlpt,0.01,0.01,3.0,0.5,0.00025,-8.608432647272402e-08,False,False,-1.725474599645338e-06,False,False,-5.795568429611819e-07,1.3134063407971297e-06
665,mlpt,0.01,0.01,3.0,0.75,0.0005,-3.096570300731294e-07,False,False,-6.406981496454023e-07,False,False,-1.8939730844019786e-05,2.4713850698410145e-06
665,mlpt,0.01,0.01,3.0,0.75,0.00025,-3.671094228607785e-07,False,False,-8.534836615226027e-07,False,False,-2.4612317866573585e-05,3.0484584100827494e-06
702,mlpt,0.01,0.3,0.01,0.25,0.0005,1.1104307695575244e-08,False,False,2.6934194985450688e-08,False,False,-3.7479075398756505e-08,8.36731782083433e-07
702,mlpt,0.01,0.3,0.01,0.25,0.00025,2.3715749253305773e-08,False,False,3.0248225368900705e-08,False,False,-3.63148972004691e-08,1.0327564186340954e-06
703,mlpt,0.01,0.3,0.01,0.5,0.0005,3.284386596025257e-09,False,False,8.022673969597415e-08,False,False,9.688830848730845e-10,4.1020345331599373e-07
