gene,stage,stage_index,specimen_label,exon,intron,complete_pair
SVB,4.2,11,1,235.0,151.0,True
SVB,4.2,11,2,559.0,226.0,True
SVB,4.2,11,3,385.0,180.0,True
SVB,4.2,11,4,351.0,219.0,True
SVB,4.2,11,5,273.0,150.0,True
SVB,4.3,12,1,227.0,148.0,True
SVB,4.3,12,2,464.0,168.0,True
SVB,4.3,12,3,327.0,212.0,True
SVB,4.3,12,4,213.0,150.0,True
SVB,4.3,12,5,,,False
SVB,5.1,13,1,209.0,116.0,True
SVB,5.1,13,2,432.0,235.0,True
SVB,5.1,13,3,421.0,216.0,True
SVB,5.1,13,4,448.0,245.0,True
SVB,5.1,13,5,407.0,246.0,True
SVB,5.2,14,1,526.0,227.0,True
SVB,5.2,14,2,846.0,263.0,True
SVB,5.2,14,3,555.0,502.0,True
SVB,5.2,14,4,522.0,388.0,True
SVB,5.2,14,5,692.0,277.0,True
SVB,5.3,15,1,839.0,636.0,True
SVB,5.3,15,2,1028.0,381.0,True
SVB,5.3,15,3,683.0,401.0,True
SVB,5.3,15,4,804.0,394.0,True
SVB,5.3,15,5,960.0,472.0,True
SVB,6.1,16,1,1357.0,664.0,True
SVB,6.1,16,2,1393.0,561.0,True
SVB,6.1,16,3,1063.0,663.0,True
SVB,6.1,16,4,998.0,425.0,True
SVB,6.1,16,5,1033.0,640.0,True
SVB,6.2,17,1,1338.0,795.0,True
SVB,6.2,17,2,1569.0,716.0,True
SVB,6.2,17,3,1175.0,663.0,True
SVB,6.2,17,4,1239.0,669.0,True
SVB,6.2,17,5,1621.0,644.0,True
SVB,6.3,18,1,1647.0,819.0,True
SVB,6.3,18,2,1653.0,778.0,True
SVB,6.3,18,3,1197.0,676.0,True
SVB,6.3,18,4,1179.0,725.0,True
SVB,6.3,18,5,,,False
SVB,7.1,19,1,1353.0,609.0,True
SVB,7.1,19,2,1370.0,592.0,True
SVB,7.1,19,3,1591.0,650.0,True
SVB,7.1,19,4,1536.0,706.0,True
SVB,7.1,19,5,1063.0,579.0,True
SVB,7.2,20,1,1354.0,593.0,True
SVB,7.2,20,2,1239.0,606.0,True
SVB,7.2,20,3,1345.0,588.0,True
SVB,7.2,20,4,1165.0,564.0,True
SVB,7.2,20,5,1384.0,533.0,True
SVB,7.3,21,1,895.0,268.0,True
SVB,7.3,21,2,730.0,301.0,True
SVB,7.3,21,3,622.0,251.0,True
SVB,7.3,21,4,858.0,319.0,True
SVB,7.3,21,5,657.0,352.0,True
SVB,8.1,22,1,685.0,291.0,True
SVB,8.1,22,2,804.0,256.0,True
SVB,8.1,22,3,634.0,261.0,True
SVB,8.1,22,4,508.0,233.0,True
SVB,8.1,22,5,773.0,225.0,True
SVB,8.2,23,1,522.0,185.0,True
SVB,8.2,23,2,537.0,137.0,True
SVB,8.2,23,3,310.0,98.0,True
SVB,8.2,23,4,440.0,23.0,True
SVB,8.2,23,5,,,False
SVB,8.3,24,1,423.0,105.0,True
SVB,8.3,24,2,297.0,112.0,True
SVB,8.3,24,3,323.0,128.0,True
SVB,8.3,24,4,272.0,99.0,True
SVB,8.3,24,5,240.0,37.0,True
