gene,draw,SSE,exceeds_observed,optimizer_success,successful_starts,retry,total_nfev,T,splice,decay,gain
Kr,34,0.0503218770912333,True,True,1,False,154,0.2534728752277551,0.0050153553979914,0.0167913791603022,0.8465817248936676
Kr,35,0.0469308648649394,True,True,2,False,47,0.2126546027525407,0.4603784974228864,0.5883315522946083,1.022412710936118
Kr,36,0.1131138144412007,True,True,1,False,132,0.0050004008904586,0.505085376602082,0.7028241837847262,1.0881513621501318
Kr,37,0.0297089976460563,False,True,2,False,24,0.0050000000007817,0.5273984277039847,0.9195129714634004,1.1298005115632632
Kr,38,0.0246991295732951,False,True,2,False,70,0.4247289912683195,0.563673080531026,0.5570367501664938,1.162707766303544
Kr,39,0.0031795450322334,False,True,2,False,52,0.3508612276210403,0.5415398265079814,0.6809847395874578,1.246225405197519
Kr,40,0.0141025239195334,False,True,2,False,49,0.0050000006252215,0.3536493731745949,0.6194046132996042,1.1256316461554146
Kr,41,0.0320427127286975,False,True,2,False,32,0.005,0.5349386442560257,0.6656230862882242,1.1509405918525315
Kr,42,0.017080740559106,False,True,1,False,149,0.0050000239429428,0.6051517468616393,0.5111961816377799,0.9167121832250308
Kr,43,0.0373349229884963,False,True,2,False,75,0.5291752457800526,0.6111933611160675,0.6201117219671438,1.1290507081439425
Kr,44,0.0073333288682524,False,True,2,False,71,0.2379640764728489,0.5595484961586081,0.7543896081688621,1.2784192063035795
Kr,45,0.0571703661921805,True,True,2,False,71,0.7985737562593327,0.5766835721486281,0.5027753391267282,1.1212582870623795
Kr,46,0.0264814886468107,False,True,2,False,26,0.0050000000269122,0.5032239621436738,0.5267127878080647,0.9135053677929824
Kr,47,0.0568827467203808,True,True,1,True,213,0.0050000008647199,0.5720979339966143,0.5504553749734334,0.880671320216901
Kr,48,0.0403080231912766,True,True,2,False,58,0.4113006449129097,0.5639868788726993,0.5974043451680421,1.1985628738096288
Kr,49,0.1566007712299786,True,True,2,False,49,0.005,0.2458390129997379,0.5453416413252398,1.067664077312556
Kr,50,0.0229422634979846,False,True,2,False,47,0.3105967984021864,0.5968942860082278,0.7131267223832841,1.2649805839016808
