Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
28,237.6594595,126.7405405,273.9459459,161.1135135,286.6918919,184.1891892,164.3135135,164.2594595,259.5243243
29,233.1459459,127.2918919,271.8,161.4540541,283.0756757,182.7837838,167.2432432,159.4972973,259.8486486
30,228.1081081,125.8108108,271.3297297,159.0864865,280.9027027,183.0324324,166.2324324,154.5675676,264.3135135
31,224.8594595,127.6378378,273.7956989,160.7027027,284.8162162,182.0918919,167.6216216,154.3567568,263.4139785
32,219.827027,132.3945946,267.0702703,160.4432432,289.5675676,178.5027027,165.9189189,150.6972973,262.8486486
33,223.1067416,135.9438202,256.505618,161.752809,301.7247191,184.1067416,166.0505618,148.0898876,263.4494382
34,230.95,131.0555556,251.8944444,162.7166667,298.2388889,189.2944444,161.7222222,148.7,261.4111111
35,236.4722222,127.2277778,255.1444444,163.0888889,285.8722222,190.5388889,156.65,147.6166667,266.1222222
36,240.1,129.75,264.5,162.2611111,276.7055556,187.2277778,154.9222222,146.9055556,266.2277778
37,255.95,135.7611111,270.3444444,161.1388889,274.4888889,181.0444444,158.9611111,142.8333333,261.3388889
38,264.4558824,133.5588235,259.4191176,158.8823529,295.6176471,176.0808824,174.3676471,150.9852941,245.7573529
39,264.3602941,133.7352941,258.1764706,156.7426471,295.3235294,176.8970588,174.2867647,154.6470588,242.6838235
40,267.6691176,136.0073529,254.7573529,157.0073529,297.9632353,182.7205882,171.4411765,155.5220588,248.3823529
41,269.7810219,135.9051095,253.5547445,157.6569343,293.9927007,185.6058394,169.3576642,154.5474453,256.0656934
42,249.2408759,127.459854,256.7007299,160.8248175,295.0510949,191.7664234,171.8905109,150.1167883,255.5547445
43,237.7080292,129.8029197,257.8613139,162.6058394,295.2481752,193.459854,172.5182482,149.1459854,252.8832117
44,226.8467153,128.4087591,259.5328467,164.6861314,292.350365,190.540146,172.459854,150.0072993,257.5766423
45,218.8832117,128.4671533,256.1970803,161.9635036,295.0291971,185.5474453,171.3065693,153.3211679,260.6569343
46,220.3695652,128.4855072,256.5144928,155.2826087,294.7463768,184.1304348,167.1014493,151.2608696,258.8768116
47,238.8985507,128.6594203,261.1956522,154.3768116,282.8043478,186.4130435,163.6304348,153.2536232,266.6304348
