gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit,intron_residual,exon_residual
Kr,cosine,mapped,24,0.020560747663551402,0.007616310400574816,0.031311477550071694,0.01534783191081198,0.010750729886520292,0.007731521510237165
Kr,gaussian,collapsed,1,0.03271028037383177,0.006035566732530986,0.030692558800811568,0.014661343930006638,-0.0020177215730202043,0.008625777197475652
Kr,gaussian,collapsed,2,0.07710280373831775,0.040524519489850905,0.03823201830407759,0.0204902008091055,-0.03887078543424016,-0.020034318680745403
Kr,gaussian,collapsed,3,0.08551401869158878,0.05388898868331238,0.06629515995219103,0.04298382024653577,-0.019218858739397757,-0.010905168436776608
Kr,gaussian,collapsed,4,0.12102803738317756,0.060930483204598526,0.14598667777901392,0.10966023219967862,0.024958640395836354,0.04872974899508009
Kr,gaussian,collapsed,5,0.37009345794392523,0.3343991377761811,0.316248857783602,0.2598626281831054,-0.05384460016032322,-0.07453650959307567
Kr,gaussian,collapsed,6,0.5112149532710281,0.4634453026764864,0.5824448164775579,0.5117106885995337,0.0712298632065298,0.0482653859230473
Kr,gaussian,collapsed,7,0.8738317757009346,0.8392311837614514,0.8670528408263967,0.8113971194324514,-0.006778934874537956,-0.02783406432900004
Kr,gaussian,collapsed,8,1.0,1.0,0.975730531703224,1.0020642000377682,-0.02426946829677601,0.0020642000377681935
Kr,gaussian,collapsed,9,0.17102803738317757,0.36227770792168135,0.19565313362418282,0.40613136773483577,0.024625096241005257,0.04385365981315442
Kr,gaussian,collapsed,10,0.10864485981308411,0.17801329261720855,0.05080430580318507,0.11976475674127439,-0.05784055400989904,-0.05824853587593416
Kr,gaussian,collapsed,11,0.021962616822429906,0.07012753727321717,0.03174141272374568,0.03933584530060649,0.009778795901315772,-0.030791691972610682
Kr,gaussian,collapsed,12,0.03177570093457944,0.014657804921860966,0.02923264368126636,0.019360555649965056,-0.00254305725331308,0.0047027507281040895
Kr,gaussian,collapsed,13,0.022897196261682243,0.010634093766840309,0.02890247752640865,0.014668602154593785,0.006005281264726405,0.004034508387753476
Kr,gaussian,collapsed,14,0.011682242990654205,0.009197054068618647,0.02885902606157955,0.013597847762007816,0.017176783070925343,0.004400793693389169
Kr,gaussian,collapsed,15,0.025233644859813085,0.004742231004131489,0.028853307638393732,0.013357346514612713,0.003619662778580647,0.008615115510481223
Kr,gaussian,collapsed,16,0.027102803738317756,0.011640021555595473,0.028852555066217925,0.013303816337368716,0.0017497513279001696,0.001663794781773243
Kr,gaussian,collapsed,17,0.027570093457943926,0.007041494521286151,0.028852456024105435,0.013291964620256029,0.0012823625661615087,0.006250470098969878
Kr,gaussian,collapsed,18,0.01775700934579439,0.005460750853242321,0.028852442989773314,0.013289348790817494,0.011095433643978924,0.007828597937575173
Kr,gaussian,collapsed,19,0.02394859813084112,0.007903718340219149,0.028852441274610625,0.0132887725100104,0.004903843143769505,0.005385054169791251
Kr,gaussian,collapsed,20,0.0227803738317757,0.005748158792886654,0.028852441049292247,0.013288645692184596,0.006072067217516547,0.007540486899297942
Kr,gaussian,collapsed,21,0.02570093457943925,0.005748158792886654,0.028852441020224905,0.013288617802822648,0.003151506440785653,0.007540459009935994
Kr,gaussian,collapsed,22,0.02570093457943925,0.011352613615951142,0.028852441016922647,0.013288611672345185,0.003151506437483395,0.0019359980563940435
Kr,gaussian,collapsed,23,0.020560747663551402,0.008047422310041314,0.028852441016317055,0.013288610326163578,0.008291693352765653,0.005241188016122264
Kr,gaussian,collapsed,24,0.020560747663551402,0.007616310400574816,0.0288524410157771,0.013288610032602975,0.0082916933522257,0.005672299632028159
Kr,gaussian,mapped,1,0.03271028037383177,0.006035566732530986,0.030668708983408826,0.014701682801381375,-0.0020415713904229464,0.008666116068850389
Kr,gaussian,mapped,2,0.07710280373831775,0.040524519489850905,0.03822092812784293,0.020529961225336648,-0.03888187561047482,-0.019994558264514257
Kr,gaussian,mapped,3,0.08551401869158878,0.05388898868331238,0.06631564045175532,0.04301741459959364,-0.01919837823983346,-0.010871574083718735
Kr,gaussian,mapped,4,0.12102803738317756,0.060930483204598526,0.14605886773331855,0.10966876931837476,0.02503083035014099,0.04873828611377623
Kr,gaussian,mapped,5,0.37009345794392523,0.3343991377761811,0.31636623047547746,0.25981015774952837,-0.05372722746844777,-0.07458898002665271
Kr,gaussian,mapped,6,0.5112149532710281,0.4634453026764864,0.5825561546616205,0.511566201933981,0.07134120139059241,0.04812089925749452
Kr,gaussian,mapped,7,0.8738317757009346,0.8392311837614514,0.8671051652237451,0.8111792402826256,-0.006726610477189476,-0.02805194347882589
Kr,gaussian,mapped,8,1.0,1.0,0.9755334658708898,1.0023323712788148,-0.02446653412911015,0.0023323712788148043
Kr,gaussian,mapped,9,0.17102803738317757,0.36227770792168135,0.19583400641641224,0.4061267354757925,0.024805969033234676,0.04384902755411113
Kr,gaussian,mapped,10,0.10864485981308411,0.17801329261720855,0.050857689993586024,0.11949442692439372,-0.05778716981949809,-0.058518865692814837
Kr,gaussian,mapped,11,0.021962616822429906,0.07012753727321717,0.031730918823422306,0.03920761020699227,0.0097683020009924,-0.030919927066224907
Kr,gaussian,mapped,12,0.03177570093457944,0.014657804921860966,0.029207529109436078,0.01933665584534828,-0.002568171825143361,0.004678850923487313
Kr,gaussian,mapped,13,0.022897196261682243,0.010634093766840309,0.028874618991361276,0.014687961288964234,0.005977422729679032,0.004053867522123925
Kr,gaussian,mapped,14,0.011682242990654205,0.009197054068618647,0.028830698250104758,0.013631794424219298,0.01714845525945055,0.004434740355600651
Kr,gaussian,mapped,15,0.025233644859813085,0.004742231004131489,0.02882490379866927,0.013395701742215218,0.0035912589388561837,0.00865347073808373
Kr,gaussian,mapped,16,0.027102803738317756,0.011640021555595473,0.028824139338278758,0.013343416504631719,0.001721335599961002,0.0017033949490362459
Kr,gaussian,mapped,17,0.027570093457943926,0.007041494521286151,0.02882403848326752,0.013331900598615838,0.0012539450253235933,0.006290406077329687
Kr,gaussian,mapped,18,0.01775700934579439,0.005460750853242321,0.028824025177611633,0.013329372429656879,0.011067015831817243,0.007868621576414558
Kr,gaussian,mapped,19,0.02394859813084112,0.007903718340219149,0.028824023422477196,0.013328818479383572,0.004875425291636076,0.0054251001391644234
Kr,gaussian,mapped,20,0.0227803738317757,0.005748158792886654,0.028824023191434404,0.013328697244055896,0.006043649359658704,0.007580538451169242
Kr,gaussian,mapped,21,0.02570093457943925,0.005748158792886654,0.02882402316167757,0.013328670729769116,0.0031230885822383196,0.007580511936882462
Kr,gaussian,mapped,22,0.02570093457943925,0.011352613615951142,0.028824023158316794,0.013328664934047831,0.0031230885788775427,0.001976051318096689
Kr,gaussian,mapped,23,0.020560747663551402,0.008047422310041314,0.02882402315779315,0.013328663668625729,0.008263275494241749,0.005281241358584415
Kr,gaussian,mapped,24,0.020560747663551402,0.007616310400574816,0.02882402315697125,0.013328663394306087,0.008263275493419847,0.005712352993731271
mlpt,cosine,collapsed,1,0.033984375,0.011968085106382979,0.06487242790514464,0.04518295886538833,0.03088805290514464,0.03321487375900535
mlpt,cosine,collapsed,2,0.04296875,0.015458776595744681,0.06487242790514465,0.04518295886538833,0.02190367790514465,0.02972418226964365
mlpt,cosine,collapsed,3,0.050390625,0.027925531914893616,0.06487242790514465,0.04518295886538834,0.014481802905144649,0.017257426950494724
mlpt,cosine,collapsed,4,0.06328125,0.031914893617021274,0.06560100684202426,0.04539857065631624,0.002319756842024262,0.013483677039294963
mlpt,cosine,collapsed,5,0.166796875,0.13131648936170212,0.15766643140388079,0.10012095441891583,-0.009130443596119225,-0.03119553494278629
mlpt,cosine,collapsed,6,0.353515625,0.3272938829787234,0.37730752239439885,0.284216302882695,0.023791897394398853,-0.04307758009602841
mlpt,cosine,collapsed,7,0.541796875,0.4865359042553191,0.6117376255139796,0.5286459602812279,0.06994075051397963,0.04211005602590878
mlpt,cosine,collapsed,8,0.79296875,0.7388630319148936,0.7391075196286013,0.7106024108869943,-0.05386123037139867,-0.02826062102789928
mlpt,cosine,collapsed,9,0.753515625,0.746841755319149,0.6793597469561522,0.7287839263829545,-0.07415587804384782,-0.018057828936194453
mlpt,cosine,collapsed,10,0.325390625,0.4875332446808511,0.4433005709721226,0.550776038956057,0.11790994597212262,0.0632427942752059
mlpt,cosine,collapsed,11,0.228515625,0.308344414893617,0.18278034376759628,0.2828784130499766,-0.045735281232403724,-0.02546600184364045
mlpt,cosine,collapsed,12,0.105078125,0.19996675531914893,0.0671527704378745,0.0979962042178644,-0.03792535456212549,-0.10197055110128453
mlpt,cosine,collapsed,13,0.052734375,0.03058510638297872,0.06487538109786087,0.053581369808768146,0.012141006097860868,0.022996263425789427
mlpt,cosine,collapsed,14,0.09296875,0.059175531914893616,0.06487243172994459,0.04651345185613989,-0.028096318270055418,-0.012662080058753723
mlpt,cosine,collapsed,15,0.109375,0.07430186170212766,0.06487242791022876,0.04539373172572552,-0.044502572089771236,-0.028908129976402137
mlpt,cosine,collapsed,16,0.157421875,0.11486037234042552,0.0722572378467171,0.04784615603865282,-0.08516463715328289,-0.0670142163017727
mlpt,cosine,collapsed,17,0.3390625,0.2345412234042553,0.2578072082465194,0.16627729345072143,-0.08125529175348056,-0.06826392995353386
mlpt,cosine,collapsed,18,0.51875,0.35505319148936165,0.6158347570663628,0.47990369392781873,0.09708475706636277,0.12485050243845708
